"Global Coverage"
"Metrics"
"McCabe - Cyclomatic Complexity"
"Project:"
"McCabe - Cyclomatic Complexity","Project","Cumulated:",233

"Sources:"
"McCabe - Cyclomatic Complexity","Sources","Average: ","4.66"
"McCabe - Cyclomatic Complexity","Sources","Average Deviation: ","6.72"
"McCabe - Cyclomatic Complexity","Sources","Minimum: ","0"
"McCabe - Cyclomatic Complexity","Sources","Maximum: ","75"

"Functions:"
"McCabe - Cyclomatic Complexity","Functions","Average: ","1.38"
"McCabe - Cyclomatic Complexity","Functions","Average Deviation: ","0.65"
"McCabe - Cyclomatic Complexity","Functions","Minimum: ","1"
"McCabe - Cyclomatic Complexity","Functions","Maximum: ","12"

"eLOC - Effective Lines of Code"
"Project:"
"eLOC - Effective Lines of Code","Project","Cumulated:",709

"Sources:"
"eLOC - Effective Lines of Code","Sources","Average: ","14.18"
"eLOC - Effective Lines of Code","Sources","Average Deviation: ","22.04"
"eLOC - Effective Lines of Code","Sources","Minimum: ","0"
"eLOC - Effective Lines of Code","Sources","Maximum: ","413"

"Functions:"
"eLOC - Effective Lines of Code","Functions","Average: ","4.20"
"eLOC - Effective Lines of Code","Functions","Average Deviation: ","4.23"
"eLOC - Effective Lines of Code","Functions","Minimum: ","1"
"eLOC - Effective Lines of Code","Functions","Maximum: ","102"

"Directories"
"Directory","Condition %","eLOC - Effective Lines of Code","McCabe - Cyclomatic Complexity"
"CocoImpactBased",=0/0,,
"CocoImpactBased/new",=0/0,,
"CocoImpactBased/new/textedit",=0/0,,
"CocoImpactBased/new/textedit/textedit_v1",=0/0,,
"MinGw11",=0/0,,
"MinGw11/mingw64",=0/0,,
"MinGw11/mingw64/x86_64-w64-mingw32",=0/0,,
"MinGw11/mingw64/x86_64-w64-mingw32/include",=0/0,,
"MinGw11/mingw64/x86_64-w64-mingw32/include/sdks",=0/0,,
"MinGw11/mingw64/x86_64-w64-mingw32/include/sec_api",=0/0,,
"MinGw11/mingw64/x86_64-w64-mingw32/include/sec_api/sys",=0/0,,
"MinGw11/mingw64/x86_64-w64-mingw32/include/sys",=0/0,,

"Source Tree"
"Source","Condition %","Manual Validations","Absolute Path","Executed Instrumentations","Count of Instrumentations","eLOC - Effective Lines of Code","McCabe - Cyclomatic Complexity"
"MinGw11/mingw64/x86_64-w64-mingw32/include/_mingw_stdarg.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\_mingw_stdarg.h",0,0,0,0
"MinGw11/mingw64/x86_64-w64-mingw32/include/_timeval.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\_timeval.h",0,0,0,0
"MinGw11/mingw64/x86_64-w64-mingw32/include/assert.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\assert.h",0,0,0,0
"MinGw11/mingw64/x86_64-w64-mingw32/include/corecrt.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\corecrt.h",0,0,0,0
"MinGw11/mingw64/x86_64-w64-mingw32/include/corecrt_startup.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\corecrt_startup.h",0,0,0,0
"MinGw11/mingw64/x86_64-w64-mingw32/include/corecrt_stdio_config.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\corecrt_stdio_config.h",0,0,0,0
"MinGw11/mingw64/x86_64-w64-mingw32/include/corecrt_wstdlib.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\corecrt_wstdlib.h",0,0,7,7
"MinGw11/mingw64/x86_64-w64-mingw32/include/crtdefs.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\crtdefs.h",0,0,0,0
"MinGw11/mingw64/x86_64-w64-mingw32/include/ctype.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\ctype.h",0,0,0,0
"MinGw11/mingw64/x86_64-w64-mingw32/include/errno.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\errno.h",0,0,0,0
"MinGw11/mingw64/x86_64-w64-mingw32/include/limits.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\limits.h",0,0,0,0
"MinGw11/mingw64/x86_64-w64-mingw32/include/locale.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\locale.h",0,0,0,0
"MinGw11/mingw64/x86_64-w64-mingw32/include/malloc.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\malloc.h",0,0,10,5
"MinGw11/mingw64/x86_64-w64-mingw32/include/math.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\math.h",0,0,89,32
"MinGw11/mingw64/x86_64-w64-mingw32/include/process.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\process.h",0,0,0,0
"MinGw11/mingw64/x86_64-w64-mingw32/include/pthread.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\pthread.h",0,0,0,0
"MinGw11/mingw64/x86_64-w64-mingw32/include/pthread_compat.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\pthread_compat.h",0,0,0,0
"MinGw11/mingw64/x86_64-w64-mingw32/include/pthread_signal.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\pthread_signal.h",0,0,0,0
"MinGw11/mingw64/x86_64-w64-mingw32/include/pthread_time.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\pthread_time.h",0,0,0,0
"MinGw11/mingw64/x86_64-w64-mingw32/include/pthread_unistd.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\pthread_unistd.h",0,0,0,0
"MinGw11/mingw64/x86_64-w64-mingw32/include/signal.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\signal.h",0,0,0,0
"MinGw11/mingw64/x86_64-w64-mingw32/include/stdarg.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\stdarg.h",0,0,0,0
"MinGw11/mingw64/x86_64-w64-mingw32/include/stddef.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\stddef.h",0,0,0,0
"MinGw11/mingw64/x86_64-w64-mingw32/include/stdint.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\stdint.h",0,0,0,0
"MinGw11/mingw64/x86_64-w64-mingw32/include/stdio.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\stdio.h",0,0,42,14
"MinGw11/mingw64/x86_64-w64-mingw32/include/stdlib.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\stdlib.h",0,0,15,13
"MinGw11/mingw64/x86_64-w64-mingw32/include/string.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\string.h",0,0,2,2
"MinGw11/mingw64/x86_64-w64-mingw32/include/swprintf.inl",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\swprintf.inl",0,0,14,4
"MinGw11/mingw64/x86_64-w64-mingw32/include/time.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\time.h",0,0,10,10
"MinGw11/mingw64/x86_64-w64-mingw32/include/vadefs.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\vadefs.h",0,0,0,0
"MinGw11/mingw64/x86_64-w64-mingw32/include/wchar.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\wchar.h",0,0,61,31
"MinGw11/mingw64/x86_64-w64-mingw32/include/wctype.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\wctype.h",0,0,0,0

"Sources"
